,host_response_time,host_response_rate,host_is_superhost,is_location_exact,property_type,room_type,accommodates,bathrooms,bedrooms,beds,bed_type,price,minimum_nights,availability_30,number_of_reviews,instant_bookable,cancellation_policy,wifi,tv,ac,kitchen,hair_dryer,free_park
5462,2,1.0,0,1,1,1,4,1.0,1.0,1.0,1,180,3,15,2,0,2,1,0,1,1,1,1
5463,1,1.0,0,1,1,2,6,1.0,2.0,3.0,1,205,2,3,1,0,2,1,1,1,1,1,0
5465,1,1.0,0,1,1,2,3,1.0,1.0,2.0,1,58,5,15,62,1,2,1,0,1,1,1,0
5466,2,0.9,1,1,1,2,1,1.0,1.0,1.0,1,50,1,0,55,0,3,1,1,1,1,1,0
5467,1,1.0,0,1,1,2,2,1.0,1.0,1.0,1,90,5,24,0,0,1,1,1,0,1,0,0
5469,1,1.0,0,1,1,2,2,1.0,1.0,1.0,1,30,2,9,40,1,1,1,0,1,1,0,1
5470,1,1.0,0,1,1,2,1,1.0,1.0,1.0,1,100,1,0,8,0,3,1,1,0,1,1,0
5471,2,1.0,0,1,1,2,4,1.5,1.0,2.0,1,67,1,27,2,0,1,1,1,1,1,1,1
5472,1,1.0,0,0,1,1,5,1.0,2.0,2.0,1,155,5,0,5,1,2,1,0,1,1,1,0
5473,3,0.9,0,1,1,2,2,1.0,1.0,2.0,1,38,20,12,0,0,3,1,1,1,1,1,0
5474,3,1.0,0,1,1,1,2,1.0,1.0,2.0,1,150,2,25,9,0,2,1,1,1,1,1,0
5476,2,1.0,1,1,1,2,1,1.0,1.0,1.0,1,38,30,0,1,0,1,1,1,1,1,1,0
5477,1,1.0,1,1,1,2,2,1.0,1.0,2.0,1,35,1,7,90,1,2,1,0,1,1,1,0
5478,2,0.9,0,1,1,1,6,1.0,2.0,3.0,1,160,2,11,12,1,2,1,0,1,1,1,0
5479,2,1.0,0,1,1,2,1,1.0,1.0,1.0,1,42,1,0,8,0,1,1,0,0,1,1,0
5482,1,0.8,0,1,1,1,2,1.0,1.0,1.0,1,114,2,3,40,0,2,1,1,1,1,1,1
5483,2,1.0,0,0,1,1,2,1.0,0.0,2.0,1,80,2,6,39,0,2,1,0,1,1,1,0
5484,1,1.0,0,1,1,1,2,1.0,1.0,2.0,1,98,3,6,87,1,2,1,1,1,1,1,1
5485,1,1.0,0,1,1,1,2,1.0,0.0,1.0,1,70,1,0,1,1,3,1,0,1,1,1,0
5486,2,0.88,0,1,1,2,2,1.0,1.0,1.0,1,47,1,17,28,0,1,1,0,1,1,0,1
5487,1,0.9,0,1,1,1,3,1.0,0.0,1.0,1,100,2,1,25,1,3,1,1,1,1,0,0
5488,2,1.0,0,1,1,1,4,1.0,1.0,2.0,1,109,2,0,12,0,2,1,0,0,1,1,0
5489,3,0.8,0,1,1,2,2,2.0,1.0,1.0,1,40,2,1,21,0,2,1,0,0,1,0,0
5491,1,1.0,0,1,1,2,2,1.0,1.0,1.0,1,80,2,12,40,0,1,1,1,0,1,0,0
5494,3,1.0,0,0,1,2,2,1.0,1.0,1.0,1,89,1,24,5,0,3,1,1,0,1,1,0
5495,3,0.5,0,1,1,2,1,1.0,1.0,1.0,1,46,3,29,3,0,2,1,1,0,1,0,0
5497,2,0.8,0,1,1,2,4,1.0,1.0,2.0,1,100,1,2,0,0,3,1,0,1,1,0,0
5498,1,1.0,0,1,1,2,2,1.0,1.0,1.0,1,117,3,7,4,0,2,1,0,1,0,1,0
5500,1,1.0,1,1,1,2,2,2.0,1.0,1.0,1,45,1,20,105,0,2,1,0,1,1,1,0
5501,2,0.73,0,1,1,1,6,1.0,2.0,4.0,1,264,1,1,0,1,2,1,1,1,1,1,0
5503,2,0.8,0,1,1,2,2,1.0,1.0,1.0,1,53,3,13,16,1,2,1,0,1,1,0,1
5504,3,1.0,0,1,1,1,2,1.0,1.0,1.0,1,195,4,12,0,0,2,1,0,1,1,1,0
5505,1,1.0,0,1,1,2,2,1.0,1.0,1.0,1,45,1,12,18,0,2,1,0,1,1,1,0
5506,2,1.0,1,0,1,2,3,1.0,1.0,1.0,1,95,2,14,25,0,1,1,0,1,1,0,0
5507,1,1.0,0,0,1,1,3,1.0,1.0,2.0,1,90,2,0,6,0,3,1,0,1,1,1,0
5509,2,0.9,0,1,1,2,2,1.5,1.0,1.0,1,75,2,2,32,0,2,1,1,1,1,1,0
5510,1,1.0,0,0,1,1,6,1.0,1.0,2.0,1,100,1,21,0,0,3,1,1,1,1,0,0
5511,3,1.0,0,1,1,2,2,1.0,1.0,1.0,1,65,2,1,1,0,3,1,1,1,1,1,0
5512,1,1.0,0,1,1,2,4,1.0,1.0,2.0,1,99,1,10,24,0,1,1,1,1,1,1,0
5514,3,1.0,0,1,1,2,4,0.5,1.0,3.0,1,68,4,0,5,0,1,1,0,1,1,1,0
5516,3,1.0,0,1,1,1,3,1.0,1.0,1.0,1,150,2,0,17,0,2,1,1,1,1,0,0
5518,3,0.9,0,0,1,2,2,1.0,1.0,1.0,1,70,1,15,0,0,3,1,0,1,1,1,0
5519,1,1.0,0,1,1,1,2,1.0,1.0,1.0,1,115,2,0,5,1,3,1,1,1,1,1,0
5521,1,1.0,0,1,1,2,2,1.0,1.0,1.0,1,72,1,8,118,1,1,1,0,1,1,0,0
5522,1,1.0,0,1,1,1,2,1.0,1.0,1.0,1,80,16,0,0,1,3,1,0,1,1,0,0
5525,1,1.0,0,0,1,2,2,1.0,1.0,1.0,1,55,1,12,17,0,1,1,1,0,1,0,0
5526,3,1.0,1,1,1,1,2,1.0,1.0,1.0,1,80,2,0,12,0,1,1,0,1,1,1,0
5527,1,1.0,0,0,1,2,2,1.0,1.0,1.0,1,50,4,0,37,0,2,1,0,1,1,1,0
5528,1,1.0,0,0,1,2,2,1.0,1.0,1.0,1,72,3,0,7,1,2,1,0,1,1,1,0
5532,2,1.0,0,1,1,2,2,1.0,1.0,1.0,1,60,4,0,7,0,1,1,0,1,1,0,0
5534,1,1.0,1,1,1,2,2,1.0,1.0,1.0,1,90,2,1,16,0,3,1,1,1,1,1,0
5535,2,1.0,0,1,1,1,4,1.0,0.0,1.0,1,97,2,0,32,0,1,1,0,1,1,0,0
5537,2,1.0,0,0,1,2,2,1.0,1.0,1.0,1,57,6,0,0,0,2,1,1,1,1,1,1
5538,3,0.67,0,1,1,1,3,2.0,2.0,2.0,1,175,1,0,0,0,3,1,1,0,1,1,0
5540,3,0.8,0,1,1,1,3,1.0,1.0,1.0,1,78,2,1,12,0,3,1,1,1,1,0,1
5544,1,0.8,0,1,1,2,2,1.0,1.0,1.0,1,90,3,0,6,1,2,1,1,1,1,1,1
5545,2,1.0,0,1,1,2,2,1.0,1.0,1.0,1,92,1,0,3,0,2,1,1,1,1,1,0
5549,1,1.0,0,1,1,1,3,1.0,1.0,2.0,1,84,2,5,35,0,3,1,1,1,1,1,0
5551,1,1.0,0,0,1,2,2,1.0,1.0,1.0,1,100,1,1,24,1,3,1,1,1,1,1,0
5553,3,1.0,0,0,1,2,2,1.0,1.0,1.0,1,125,1,29,1,0,2,1,1,1,0,1,0
5554,1,1.0,0,1,1,1,6,1.0,2.0,4.0,1,149,1,26,24,1,2,1,1,1,1,1,0
5555,1,1.0,1,1,1,1,6,1.0,3.0,5.0,1,209,3,7,151,0,2,1,1,1,1,1,0
5556,1,1.0,1,1,1,2,2,2.0,1.0,1.0,1,46,1,14,135,0,2,1,0,1,1,1,0
5559,3,0.9,0,1,1,1,2,1.0,0.0,1.0,1,90,5,0,9,0,2,1,0,1,1,1,0
5560,2,1.0,0,1,1,1,4,1.5,2.0,2.0,1,300,2,22,1,0,1,1,0,1,1,1,0
5562,1,1.0,0,1,1,2,2,1.0,1.0,1.0,1,80,2,15,10,1,1,1,1,0,1,1,0
5563,3,1.0,0,1,1,1,4,1.0,1.0,1.0,1,109,4,6,4,0,1,1,1,1,1,1,0
5564,1,1.0,0,1,1,3,3,1.0,1.0,2.0,1,59,1,29,7,0,3,1,0,1,1,0,0
5565,1,1.0,0,0,1,1,8,1.0,3.0,4.0,1,139,30,29,3,1,2,1,1,0,1,1,0
5567,3,1.0,0,1,1,2,2,1.0,1.0,2.0,1,60,4,0,5,0,2,1,0,0,1,0,0
5568,2,1.0,0,0,1,1,4,1.0,1.0,1.0,1,140,3,0,10,0,3,1,1,1,1,1,0
5569,1,1.0,0,1,1,1,5,1.0,0.0,2.0,1,100,1,0,11,0,1,1,0,1,1,1,0
5570,3,1.0,0,1,1,1,4,1.0,2.0,2.0,1,100,14,0,16,0,2,1,0,1,1,1,0
5571,2,1.0,0,1,1,2,2,1.0,1.0,1.0,1,85,1,0,1,0,3,1,1,1,1,1,1
5575,3,0.7,0,1,1,2,2,1.0,1.0,1.0,1,50,28,11,5,0,2,1,1,1,1,0,0
5576,1,1.0,0,0,1,2,2,1.0,1.0,2.0,1,70,2,0,9,0,1,1,1,1,1,1,0
5580,3,0.83,0,1,1,1,4,1.0,1.0,2.0,1,125,2,0,30,0,2,1,0,1,1,1,0
5581,3,0.75,0,1,1,1,3,1.0,2.0,2.0,1,125,7,0,4,0,1,1,1,1,1,0,0
5582,1,1.0,0,1,1,2,4,1.0,1.0,2.0,1,60,7,7,0,0,2,1,1,1,1,0,0
5583,1,1.0,0,1,1,2,2,1.0,1.0,1.0,1,60,2,12,23,0,1,1,0,1,1,0,0
5584,2,1.0,0,1,1,1,2,1.0,1.0,1.0,1,155,2,19,41,0,2,1,1,1,1,0,0
5585,2,1.0,1,1,1,1,8,1.0,3.0,4.0,1,125,2,7,60,0,2,1,1,1,1,1,0
5587,1,1.0,0,1,1,1,2,1.0,1.0,1.0,1,109,14,24,3,0,2,1,1,1,1,1,0
5589,1,1.0,0,1,1,2,2,1.0,1.0,1.0,1,95,2,18,3,0,3,1,0,1,1,1,0
5591,2,1.0,0,1,1,1,4,2.0,2.0,2.0,1,145,4,0,2,1,2,1,0,1,1,0,0
5593,2,1.0,0,1,1,2,2,1.0,1.0,1.0,1,83,1,3,22,0,2,1,1,1,1,1,1
5594,2,1.0,1,1,1,2,2,1.0,1.0,1.0,1,70,2,0,34,0,1,1,0,1,1,1,0
5595,2,0.8,0,1,1,2,3,1.0,1.0,1.0,1,49,3,0,24,0,3,1,0,0,0,0,0
5596,3,1.0,0,0,1,1,4,1.0,1.0,2.0,1,100,2,0,6,0,3,1,1,1,1,1,0
5597,3,0.5,0,1,1,2,1,1.0,1.0,1.0,1,55,3,0,3,1,2,1,0,0,1,1,0
5598,1,1.0,0,1,1,2,2,1.0,1.0,1.0,1,110,2,4,2,0,1,1,0,1,1,1,0
5599,3,0.8,0,1,1,1,2,1.0,1.0,2.0,1,70,70,0,4,0,1,1,1,1,1,0,0
5600,3,0.6,0,1,1,2,2,1.0,1.0,1.0,1,80,5,0,0,0,1,1,1,1,1,1,0
5602,1,1.0,0,1,1,2,2,1.0,1.0,1.0,1,60,2,8,9,1,3,1,0,1,1,1,0
5603,3,1.0,0,0,1,1,2,1.0,1.0,1.0,1,74,3,0,0,0,1,1,1,1,1,0,0
5604,1,1.0,1,1,1,2,1,1.0,1.0,1.0,1,72,2,6,46,0,1,1,0,1,1,1,0
5605,3,1.0,0,1,1,1,5,1.0,2.0,2.0,1,225,2,14,27,0,2,1,0,1,1,0,0
5606,3,1.0,0,1,1,1,6,2.0,2.0,3.0,1,120,1,2,4,0,2,1,0,1,1,1,0
5608,3,0.9,0,1,1,2,2,1.0,1.0,1.0,1,59,3,7,135,0,2,1,0,1,1,0,0
5609,3,1.0,0,1,1,1,4,1.0,2.0,3.0,1,109,4,0,10,0,2,1,1,1,1,0,0
5610,1,1.0,0,0,1,1,4,1.0,1.0,1.0,1,105,3,27,2,0,2,1,1,1,1,1,0
5611,1,1.0,0,1,1,1,5,1.0,1.0,4.0,1,110,2,9,32,1,1,1,1,1,1,1,0
